id;armed
0;gun
1;unarmed
2;toy weapon
3;nail gun
4;knife
5;N/A
6;shovel
7;vehicle
8;hammer
9;hatchet
10;sword
11;machete
12;box cutter
13;undetermined
14;metal object
15;screwdriver
16;lawn mower blade
17;flagpole
18;guns and explosives
19;cordless drill
20;crossbow
21;metal pole
22;Taser
23;metal pipe
24;metal hand tool
25;blunt object
26;metal stick
27;sharp object
28;meat cleaver
29;carjack
30;chain
31;contractor's level
32;unknown weapon
33;stapler
34;beer bottle
35;bean-bag gun
36;baseball bat and fireplace poker
37;straight edge razor
38;gun and knife
39;ax
40;brick
41;baseball bat
42;hand torch
43;chain saw
44;garden tool
45;scissors
46;pole
47;pick-axe
48;flashlight
49;baton
50;spear
51;chair
52;pitchfork
53;hatchet and gun
54;rock
55;piece of wood
56;bayonet
57;pipe
58;glass shard
59;motorcycle
60;pepper spray
61;metal rake
62;crowbar
63;oar
64;machete and gun
65;tire iron
66;air conditioner
67;pole and knife
68;baseball bat and bottle
69;fireworks
70;pen
71;chainsaw
72;gun and sword
73;gun and car
74;pellet gun
75;claimed to be armed
76;BB gun
77;incendiary device
78;samurai sword
79;bow and arrow
80;gun and vehicle
81;vehicle and gun
82;wrench
83;walking stick
84;barstool
85;grenade
86;BB gun and vehicle
87;wasp spray
88;air pistol
89;Airsoft pistol
90;baseball bat and knife
91;vehicle and machete
92;ice pick
93;car, knife and mace
94;bottle
95;gun and machete
