estado;C.city;C.estado;C.idCity;idEstado
AK;Anchorage;AK;149;0
AK;Anchorage;AK;148;0
AK;Houston;AK;2270;0
AK;North Pole;AK;3680;0
AK;Pilot Station;AK;4124;0
AK;Fairbanks;AK;1600;0
AK;Fairbanks;AK;1604;0
AK;Fairbanks;AK;1605;0
AK;Fairbanks;AK;1603;0
AK;Fairbanks;AK;1601;0
AK;Fairbanks;AK;1602;0
AK;North Pole;AK;3679;0
AK;Wasilla;AK;5517;0
AK;Wasilla;AK;5518;0
AK;Seward;AK;4799;0
AK;Eagle River;AK;1439;0
AK;Wasilla;AK;5516;0
AK;Wasilla;AK;5519;0
AK;Wasilla;AK;5521;0
AK;Palmer;AK;3912;0
AK;Nikolaevsk;AK;3632;0
AK;Kenai Peninsula;AK;2556;0
AK;Wasilla;AK;5520;0
AK;Anchorage;AK;144;0
AK;Barrow;AK;411;0
AK;Kasilof;AK;2543;0
AK;Spenard;AK;4932;0
AK;Anchorage;AK;143;0
AK;Anchor Point;AK;139;0
AK;Anchorage;AK;140;0
AK;Anchorage;AK;142;0
AK;Anchorage;AK;141;0
AK;Fairbanks;AK;1607;0
AK;Fairbanks;AK;1606;0
AK;Fairbanks;AK;1608;0
AK;Big Lake;AK;518;0
AK;Anchorage;AK;147;0
AK;Copper Center;AK;1172;0
AK;Anchorage;AK;146;0
AK;Anchorage;AK;145;0
AK;Juneau;AK;2496;0
AL;Dadeville;AL;1230;1
AL;Deer Park;AL;1295;1
AL;Daphne;AL;1261;1
AL;Washington County;AL;5511;1
AL;Muscle Shoals;AL;3506;1
AL;Demopolis;AL;1321;1
AL;Opp;AL;3823;1
AL;Sylacauga;AL;5136;1
AL;Sylacauga;AL;5137;1
AL;Haynesville;AL;2094;1
AL;Anniston;AL;156;1
AL;Meridianville;AL;3257;1
AL;Brooksville;AL;671;1
AL;Ariton;AL;187;1
AL;Ohatchee;AL;3746;1
AL;Arab;AL;178;1
AL;Talladega;AL;5171;1
AL;Vestavia Hills;AL;5432;1
AL;Gordo;AL;1932;1
AL;Jacksonville;AL;2446;1
AL;Prichard;AL;4254;1
AL;Fairhope;AL;1620;1
AL;Birmingham;AL;536;1
AL;Birmingham;AL;537;1
AL;Jackson County;AL;2414;1
AL;Birmingham;AL;535;1
AL;Barnwell;AL;409;1
AL;Florence;AL;1685;1
AL;Ranburne;AL;4311;1
AL;Baldwin County;AL;380;1
AL;Bay Minette;AL;447;1
AL;Gadsden;AL;1835;1
AL;Tuscaloosa;AL;5366;1
AL;Tuscumbia;AL;5369;1
AL;Tuscumbia;AL;5368;1
AL;Killeen;AL;2581;1
AL;Ashville;AL;225;1
AL;Rainbow City;AL;4303;1
AL;Elkmont;AL;1527;1
AL;Hamilton;AL;2043;1
AL;Opelika;AL;3822;1
AL;Eastaboga;AL;1459;1
AL;Hanceville;AL;2053;1
AL;Eclectic;AL;1470;1
AL;Birmingham;AL;539;1
AL;Birmingham;AL;540;1
AL;Atmore;AL;263;1
AL;Birmingham;AL;538;1
AL;Piedmont;AL;4119;1
AL;Birmingham;AL;542;1
AL;Eufaula;AL;1570;1
AL;Piedmont;AL;4117;1
AL;Birmingham;AL;541;1
AL;Crenshaw County;AL;1206;1
AL;Saraland;AL;4740;1
AL;Westover;AL;5627;1
AL;Leeds;AL;2843;1
AL;Clanton;AL;1001;1
AL;Huntsville;AL;2321;1
AL;Morris;AL;3467;1
AL;Huntsville;AL;2322;1
AL;Monroeville;AL;3427;1
AL;Citronelle;AL;991;1
AL;Phenix City;AL;4009;1
AL;Coden;AL;1071;1
AL;Phenix City;AL;4010;1
AL;Phenix City;AL;4008;1
AL;Phenix City;AL;4007;1
AL;Albertville;AL;49;1
AL;Montgomery;AL;3439;1
AL;Semmes;AL;4795;1
AL;Homewood;AL;2205;1
AL;Homewood;AL;2204;1
AL;Hoover;AL;2221;1
AL;Homewood;AL;2206;1
AL;Pell City;AL;3976;1
AL;Huntsville;AL;2319;1
AL;Huntsville;AL;2320;1
AL;Homewood;AL;2203;1
AL;Clanton;AL;1002;1
AL;Huntsville;AL;2318;1
AL;Luverne;AL;3107;1
AL;Semmes;AL;4794;1
AL;Macon County;AL;3123;1
AL;Hoover;AL;2222;1
AL;Selma;AL;4792;1
AL;Lawrence County;AL;2818;1
AL;Abbeville;AL;1;1
AL;Chunchula;AL;976;1
AL;Huntsville;AL;2326;1
AL;Huntsville;AL;2316;1
AL;Millbrook;AL;3350;1
AL;Clay;AL;1020;1
AL;Mobile;AL;3398;1
AL;Montgomery;AL;3442;1
AL;Mobile;AL;3397;1
AL;Madison;AL;3131;1
AL;Mobile;AL;3399;1
AL;Huntsville;AL;2324;1
AL;Montgomery;AL;3441;1
AL;Montgomery;AL;3440;1
AL;Oxford;AL;3879;1
AL;Ozark;AL;3884;1
AL;Huntsville;AL;2325;1
AL;Millbrook;AL;3349;1
AR;Pine Bluff;AR;4128;2
AR;Little Rock;AR;2907;2
AR;Pine Bluff;AR;4129;2
AR;Pine Bluff;AR;4127;2
AR;Little Rock;AR;2902;2
AR;Benton;AR;495;2
AR;Little Rock;AR;2904;2
AR;Yellville;AR;5724;2
AR;Farmington;AR;1636;2
AR;Clarksville;AR;1012;2
AR;Ozark;AR;3885;2
AR;Little Rock;AR;2905;2
AR;Little Rock;AR;2906;2
AR;Magnolia;AR;3139;2
AR;Searcy County;AR;4765;2
AR;Romance;AR;4453;2
AR;Trumann;AR;5296;2
AR;Atkins;AR;236;2
AR;Lone Rock;AR;2934;2
AR;Mississippi County;AR;3391;2
AR;Sims;AR;4855;2
AR;Russellville;AR;4498;2
AR;North Little Rock;AR;3675;2
AR;England;AR;1550;2
