idEstado;Count.state;o.Count.state;o.estados.city;o.idCity
0;AK;AK;Big Lake;230
0;AK;AK;Kenai Peninsula;1323
0;AK;AK;Kasilof;1313
0;AK;AK;Spenard;2477
0;AK;AK;Seward;2385
0;AK;AK;Eagle River;730
0;AK;AK;Houston;1201
0;AK;AK;Wasilla;2757
0;AK;AK;Palmer;1984
0;AK;AK;Pilot Station;2068
0;AK;AK;Anchorage;55
0;AK;AK;Barrow;160
0;AK;AK;Nikolaevsk;1840
0;AK;AK;Juneau;1304
0;AK;AK;Anchor Point;54
0;AK;AK;Copper Center;581
0;AK;AK;North Pole;1873
0;AK;AK;Fairbanks;832
1;AL;AL;Phenix City;2055
1;AL;AL;Washington County;2752
1;AL;AL;Pell City;2028
1;AL;AL;Jackson County;1264
1;AL;AL;Arab;75
1;AL;AL;Chunchula;481
1;AL;AL;Ozark;1967
1;AL;AL;Opp;1935
1;AL;AL;Anniston;61
1;AL;AL;Coden;542
1;AL;AL;Jacksonville;1269
1;AL;AL;Clanton;493
1;AL;AL;Citronelle;488
1;AL;AL;Clay;508
1;AL;AL;Hanceville;1090
1;AL;AL;Piedmont;2064
1;AL;AL;Haynesville;1121
1;AL;AL;Sylacauga;2575
1;AL;AL;Talladega;2587
1;AL;AL;Semmes;2381
1;AL;AL;Atmore;113
1;AL;AL;Birmingham;236
1;AL;AL;Gordo;1014
1;AL;AL;Baldwin County;148
1;AL;AL;Tuscaloosa;2666
1;AL;AL;Bay Minette;179
1;AL;AL;Tuscumbia;2668
1;AL;AL;Barnwell;158
1;AL;AL;Selma;2379
1;AL;AL;Rainbow City;2175
1;AL;AL;Ranburne;2179
1;AL;AL;Huntsville;1220
1;AL;AL;Ariton;83
1;AL;AL;Gadsden;953
1;AL;AL;Prichard;2150
1;AL;AL;Brooksville;324
1;AL;AL;Ashville;104
1;AL;AL;Saraland;2355
1;AL;AL;Hoover;1192
1;AL;AL;Vestavia Hills;2707
1;AL;AL;Homewood;1189
1;AL;AL;Opelika;1934
1;AL;AL;Meridianville;1657
1;AL;AL;Millbrook;1687
1;AL;AL;Florence;877
1;AL;AL;Eclectic;753
1;AL;AL;Eastaboga;746
1;AL;AL;Montgomery;1732
1;AL;AL;Demopolis;678
1;AL;AL;Monroeville;1721
1;AL;AL;Albertville;29
1;AL;AL;Mobile;1705
1;AL;AL;Fairhope;842
1;AL;AL;Leeds;1455
1;AL;AL;Lawrence County;1438
1;AL;AL;Oxford;1961
1;AL;AL;Abbeville;1
1;AL;AL;Elkmont;785
1;AL;AL;Madison;1567
1;AL;AL;Macon County;1561
1;AL;AL;Eufaula;820
1;AL;AL;Luverne;1550
1;AL;AL;Morris;1752
1;AL;AL;Crenshaw County;605
1;AL;AL;Killeen;1335
1;AL;AL;Dadeville;627
1;AL;AL;Daphne;643
1;AL;AL;Muscle Shoals;1780
1;AL;AL;Ohatchee;1907
1;AL;AL;Westover;2829
1;AL;AL;Deer Park;664
1;AL;AL;Hamilton;1082
2;AR;AR;Bentonville;216
2;AR;AR;Lone Rock;1519
2;AR;AR;Jacksonville;1268
2;AR;AR;Sheridan;2405
2;AR;AR;Springdale;2489
2;AR;AR;England;802
2;AR;AR;Lowell;1535
2;AR;AR;Sims;2423
2;AR;AR;Shirley;2409
2;AR;AR;Benton;212
2;AR;AR;Ozark;1966
2;AR;AR;Batesville;172
2;AR;AR;North Little Rock;1869
2;AR;AR;Trumann;2653
2;AR;AR;Jonesboro;1296
2;AR;AR;Fayetteville;857
2;AR;AR;Stone County;2538
2;AR;AR;St. Francis County;2507
2;AR;AR;Strong;2545
2;AR;AR;Little Rock;1498
2;AR;AR;London;1517
2;AR;AR;Fort Smith;905
2;AR;AR;Mountain Pine;1767
2;AR;AR;Mississippi County;1701
2;AR;AR;Forrest City;892
2;AR;AR;Dover;709
2;AR;AR;Cabot;365
2;AR;AR;Rector;2196
2;AR;AR;Pine Bluff;2071
2;AR;AR;Desha;690
2;AR;AR;Perryville;2046
2;AR;AR;Formosa;891
2;AR;AR;Pope County;2111
2;AR;AR;Farmington;853
2;AR;AR;Mulberry;1777
2;AR;AR;Searcy County;2368
2;AR;AR;Manila;1587
2;AR;AR;Russellville;2295
2;AR;AR;Clarksville;506
2;AR;AR;Magnolia;1572
2;AR;AR;Blytheville;259
2;AR;AR;Bryant;333
2;AR;AR;Bull Shoals;340
2;AR;AR;Mena;1650
2;AR;AR;Marion;1603
2;AR;AR;Rose Bud;2266
2;AR;AR;Romance;2259
2;AR;AR;Atkins;110
2;AR;AR;Helena-West Helena;1131
2;AR;AR;Hackett;1077
2;AR;AR;Van Buren;2697
2;AR;AR;Austin;126
2;AR;AR;Yellville;2896
2;AR;AR;West Memphis;2809
2;AR;AR;Alexander;33
2;AR;AR;Warren;2744
2;AR;AR;Helena;1130
3;AZ;AZ;Bullhead City;341
3;AZ;AZ;Golden Valley;1005
3;AZ;AZ;Gilbert;984
3;AZ;AZ;Buckeye;335
3;AZ;AZ;Casa Grande;416
3;AZ;AZ;Lake Havasu City;1392
3;AZ;AZ;Prescott;2147
3;AZ;AZ;Wilhoit;2849
3;AZ;AZ;Red Valley;2198
3;AZ;AZ;Quartzsite;2167
3;AZ;AZ;Flagstaff;866
3;AZ;AZ;Grand Canyon Caverns;1020
3;AZ;AZ;Bisbee;237
3;AZ;AZ;Sierra Vista;2416
3;AZ;AZ;Golden Shores;1004
3;AZ;AZ;Globe;1002
3;AZ;AZ;Somerton;2448
3;AZ;AZ;Show Low;2412
3;AZ;AZ;Youngtown;2906
3;AZ;AZ;San Manuel;2328
3;AZ;AZ;Salt River Reservation;2314
3;AZ;AZ;Glendale;995
3;AZ;AZ;Sedona;2377
3;AZ;AZ;Scottsdale;2365
3;AZ;AZ;Florence;873
3;AZ;AZ;Winslow;2873
3;AZ;AZ;Mesa;1661
3;AZ;AZ;Apache Junction;69
3;AZ;AZ;Ehrenberg;764
3;AZ;AZ;Maricopa;1598
3;AZ;AZ;Clarkdale;498
3;AZ;AZ;Eagar;728
3;AZ;AZ;Douglas;703
3;AZ;AZ;Morenci;1747
3;AZ;AZ;La Paz County;1366
3;AZ;AZ;Kingman;1340
3;AZ;AZ;Cottonwood;592
3;AZ;AZ;Kearny;1318
3;AZ;AZ;Noglaes;1847
3;AZ;AZ;Pima County;2070
3;AZ;AZ;Pima;2069
3;AZ;AZ;Picture Rocks;2062
3;AZ;AZ;Pinetop;2076
3;AZ;AZ;Ahwatukee;17
3;AZ;AZ;Chandler;441
3;AZ;AZ;Pinetop-Lakeside;2077
3;AZ;AZ;Phoenix;2060
3;AZ;AZ;Parks;2001
3;AZ;AZ;Chinle;475
3;AZ;AZ;Parker;1999
3;AZ;AZ;Paulden;2015
3;AZ;AZ;Marana;1597
3;AZ;AZ;Peoria;2040
3;AZ;AZ;El Mirage;768
3;AZ;AZ;Avondale;134
3;AZ;AZ;Yuma;2911
3;AZ;AZ;Tuscson;2667
3;AZ;AZ;Three Points;2622
3;AZ;AZ;Tucson;2656
3;AZ;AZ;Goodyear;1012
3;AZ;AZ;Tolleson;2633
3;AZ;AZ;Lake Havasu;1391
3;AZ;AZ;Tonalea;2637
3;AZ;AZ;Tempe;2601
3;AZ;AZ;Sun City;2561
3;AZ;AZ;Surprise;2571
4;CA;CA;El Centro;766
4;CA;CA;Chino;476
4;CA;CA;Banning;153
4;CA;CA;Watsonville;2767
4;CA;CA;El Cajon;765
4;CA;CA;Palo Alto;1986
4;CA;CA;Watsonsville;2766
4;CA;CA;Paradise;1993
4;CA;CA;Chula Vista;480
4;CA;CA;Chino Hills;477
4;CA;CA;Chowchilla;478
4;CA;CA;Fresno;939
4;CA;CA;Citrus Heights;489
4;CA;CA;City Terrace;490
4;CA;CA;Apple Valley;73
4;CA;CA;Panorama City;1991
4;CA;CA;El Cerrito;767
4;CA;CA;Thousand Oaks;2620
4;CA;CA;Jamestown;1273
4;CA;CA;Oroville;1949
4;CA;CA;Orosi;1948
4;CA;CA;Marysville;1614
4;CA;CA;Antelope;64
4;CA;CA;Oxnard;1964
4;CA;CA;Orcutt;1943
4;CA;CA;Coalinga;535
4;CA;CA;Maywood;1625
4;CA;CA;Cloverdale;529
4;CA;CA;Florence;875
4;CA;CA;Clovis;532
4;CA;CA;Pacific Beach;1969
4;CA;CA;Marina;1600
4;CA;CA;Palm Desert;1980
4;CA;CA;Edison;759
4;CA;CA;Fremont;937
4;CA;CA;Palmdale;1983
4;CA;CA;Palm Springs;1982
4;CA;CA;Clearlake Park;515
4;CA;CA;Laguna Woods;1383
4;CA;CA;Martinez;1610
4;CA;CA;Antioch;68
4;CA;CA;Palermo;1975
4;CA;CA;Clearlake Oaks;514
4;CA;CA;Chico;473
4;CA;CA;Castaic;419
4;CA;CA;Cathedral City;420
4;CA;CA;Aguanga;16
4;CA;CA;Temecula;2600
4;CA;CA;Madera;1563
4;CA;CA;Madera County;1564
4;CA;CA;Bassett;170
4;CA;CA;Pomona;2106
4;CA;CA;Point Loma;2102
4;CA;CA;Elk Grove;780
4;CA;CA;Lake Forest;1389
4;CA;CA;Grand Terrace;1027
4;CA;CA;Woodville;2890
4;CA;CA;Walnut Creek;2734
4;CA;CA;Carson;409
4;CA;CA;Tehachapi;2598
4;CA;CA;Tehama County;2599
4;CA;CA;Grover Beach;1064
4;CA;CA;Industry;1241
4;CA;CA;Inglewood;1242
4;CA;CA;Avenal;130
4;CA;CA;Poway;2142
4;CA;CA;Porterville;2128
4;CA;CA;Indio;1240
4;CA;CA;Hanford;1092
4;CA;CA;Perris;2043
4;CA;CA;El Sereno;771
4;CA;CA;Chatsworth;454
4;CA;CA;Pico Rivera;2061
4;CA;CA;Barstow;162
4;CA;CA;Barona Indian Reservation;159
4;CA;CA;Paso Robles;2011
4;CA;CA;Pasadena;2008
4;CA;CA;El Monte;769
4;CA;CA;Arcata;77
4;CA;CA;Irvine;1250
4;CA;CA;Ceres;436
4;CA;CA;Cerritos;437
4;CA;CA;Pittsburg;2083
4;CA;CA;Inyokern;1246
4;CA;CA;Fullerton;948
4;CA;CA;Pleasanton;2095
4;CA;CA;Lake Elsinore;1388
4;CA;CA;Wasco;2747
4;CA;CA;Charleston View;448
4;CA;CA;Pinion Hills;2079
4;CA;CA;Lancaster;1415
4;CA;CA;Templeton;2605
4;CA;CA;Baldwin Hills;149
4;CA;CA;La Quinta;1369
4;CA;CA;Napa Valley;1791
4;CA;CA;Napa;1790
4;CA;CA;Douglas City;706
4;CA;CA;Kings County;1341
4;CA;CA;Danville;641
4;CA;CA;Muscoy;1781
4;CA;CA;Dinuba;699
4;CA;CA;Murrieta;1779
4;CA;CA;Turlock;2665
4;CA;CA;Dos Palos;702
4;CA;CA;Davis;650
4;CA;CA;Newman;1829
4;CA;CA;Newark;1825
4;CA;CA;Torrance;2641
4;CA;CA;Nice;1837
4;CA;CA;Newport Beach;1832
