d.g.  idType.listed_in	Index.listed	l.g.  idType.director	l.Index.director	l.d.  idType.country	l.d.Index.countries	 idType.cast	 Index.Cast	  idType.IMDB_titleID	  Index.IMBD	   type	   IndexType	   idType.show_id	   idType.title	   idType.date_added	   idType.release_year	   idType.rating	   idType.duration	   idType.listed_in	   idType.description	   idType.IMDB_titleID	   idType.IMDB_rating	   idType.IMDB_rating_votes	   idType.IMDB_title_name
Children & Family Movies, Comedies	0	Richard Finn, Tim Maltby	0	United States, India, South Korea, China	0	Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson	0	/title/tt9428190/	0	Movie	0	81145628	Norm of the North: King Sized Adventure	09/09/19	2019	TV-PG	90 min	Children & Family Movies, Comedies	Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.	/title/tt9428190/	3,1	235	 Norm of the North: King Sized Adventure
Children & Family Movies, Comedies	0	 N/A	1	United States	2	Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Clancy Brown, Jorge Diaz, Peter Hastings, Evan Kishiyama, David Koechner, Erica Luttrell, Patty Mattson, Brennan Murray, Kevin Michael Richardson, Mindy Sterling, Stephen Tobolowsky, Kari Wahlgren	178	/title/tt10945060/	196	Movie	0	81021976	The Spooky Tale of Captain Underpants Hack-a-ween	08/10/19	2019	TV-Y7	46 min	Children & Family Movies, Comedies	When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday – and it's a huge success!	/title/tt10945060/	6,3	73	 The Spooky Tale of Captain Underpants Hack-a-Ween
Children & Family Movies, Comedies	0	David Soren	166	United States	2	Ben Schwartz, Bill Hader, Luis Guzmán, Snoop Dogg, Paul Giamatti, Ryan Reynolds, Maya Rudolph, Ken Jeong, Samuel L. Jackson, Michael Peña, Michelle Rodriguez, Richard Jenkins, Kurtwood Smith, Luis Guzman	114	/title/tt1860353/	124	Movie	0	70267728	Turbo	12/09/19	2013	PG	96 min	Children & Family Movies, Comedies	A speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.	/title/tt1860353/	6,4	78149	 Turbo
Children & Family Movies, Comedies	0	Roger Allers, Jill Culton	174	United States	2	Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing, Billy Connolly, Georgia Engel, Jon Favreau, Jane Krakowski, Gordon Tootoosis, Patrick Warburton	128	/title/tt0400717/	140	Movie	0	70043308	Open Season	01/09/19	2006	PG	86 min	Children & Family Movies, Comedies	After saving a deer from a hunter's clutches, a domesticated grizzly finds himself relocated to the wild – and unprepared for the real world.	/title/tt0400717/	6,1	81785	 Open Season
Children & Family Movies, Comedies	0	Michael D. Black	197	United States	2	A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning	196	/title/tt6101862/	216	Movie	0	80141858	LEGO Jurassic World: The Indominus Escape	04/10/16	2016	TV-Y7	25 min	Children & Family Movies, Comedies	The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?	/title/tt6101862/	5,7	659	 Lego Jurassic World: The Indominus Escape
Children & Family Movies, Comedies	0	Brian Robbins	242	United States	2	Kenan Thompson, Kel Mitchell, Abe Vigoda, Dan Schneider, Shar Jackson, Jan Schweiterman, Linda Cardellini, Sinbad, Ron Lester, Josh Server, Ginny Schreiber	334	/title/tt0119215/	372	Movie	0	60028097	Good Burger	01/10/19	1997	PG	96 min	Children & Family Movies, Comedies	Two L.A. teens with summer jobs at Good Burger try to save their small restaurant when a corporate giant burger franchise moves in across the street.	/title/tt0119215/	5,7	24733	 Good Burger
Children & Family Movies, Comedies	0	Andy Tennant	253	United States	2	Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco, Jane Sibbett	517	/title/tt0113442/	562	Movie	0	60022502	It Takes Two	20/11/19	1995	PG	101 min	Children & Family Movies, Comedies	"The Olsen twins put a cute new spin on Mark Twain's classic tale The Prince and the Pauper"""	/title/tt0113442/	5,9	19225	 It Takes Two
Children & Family Movies, Comedies	0	Brian Levant	255	United States	2	John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Dann Florek, Sam Raimi, Harvey Korman	354	/title/tt0109813/	392	Movie	0	510854	The Flintstones	01/10/19	1994	PG	91 min	Children & Family Movies, Comedies	The Flintstones hit the big screen in this live-action comedy that finds Fred and Barney struggling to cope with the pressures of work and family.	/title/tt0109813/	4,9	72323	 The Flintstones
Children & Family Movies, Comedies	0	Igor Kovalyov, Norton Virgien	257	United States	2	Elizabeth Daily, Christine Cavanaugh, Kath Soucie, Melanie Chartoff, Phil Proctor, Cree Summer, Cheryl Chase, Tara Strong, Jack Riley, Joe Alaskey, Michael Bell, Tress MacNeille, Busta Rhymes, Whoopi Goldberg, David Spade	357	/title/tt0134067/	395	Movie	0	18021979	The Rugrats Movie	01/10/19	1998	G	81 min	Children & Family Movies, Comedies	When his baby brother Dil is born, Tommy Pickles and his pals decide that he's too much responsibility and try to return him to the hospital.	/title/tt0134067/	5,9	1723	 The Rugrats Movie
Children & Family Movies, Comedies	0	Paul Feig	260	United States	2	Lewis Black, Wilmer Valderrama, Tyler James Williams, Gia Mantegna, Dyllan Christopher, Brett Kelly, Quinn Shephard, Paget Brewster, Rob Corddry, Dominique Saldaña	363	/title/tt0488658/	400	Movie	0	70053456	Unaccompanied Minors	01/10/19	2006	PG	90 min	Children & Family Movies, Comedies	Five disparate kids, snowed in at the airport on Christmas Eve, try to get back to their families and outsmart a disgruntled airport official.	/title/tt0488658/	5,3	10058	 Unaccompanied Minors
Children & Family Movies, Comedies	0	Karen J. Lloyd	269	Canada	30	Scott McNeil, Vincent Tong, Travis Turner, Shannon Chan-Kent, Lili Beaudoin	420	/title/tt6111628/	461	Movie	0	80118280	Ghost Patrol	01/10/17	2016	TV-Y7-FV	47 min	Children & Family Movies, Comedies	Two kids and their pet dog (aka the Ghost Patrol) get a call about an old manor and soon find they are investigating their first real haunted house.	/title/tt6111628/	4,9	160	 Ghost Patrol
Children & Family Movies, Comedies	0	Mike Disa	293	United States	2	Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack, David Ogden Stiers, Bill Hader, Amy Poehler, Andy Dick, Martin Short, Brad Garrett, Cheech Marin, Tommy Chong, Heidi Klum, Wayne Newton	475	/title/tt0844993/	519	Movie	0	70117582	Hoodwinked Too! Hood vs. Evil	03/11/18	2011	PG	86 min	Children & Family Movies, Comedies	Fresh off a top-secret training, feisty heroine Little Red teams up with intrepid reporter Wolf to investigate the disappearance of Hansel and Gretel.	/title/tt0844993/	4,7	11607	 Hoodwinked Too! Hood vs. Evil
Children & Family Movies, Comedies	0	Clay Kaytis	304	United States	2	Kurt Russell, Darby Camp, Judah Lewis, Kimberly Williams-Paisley, Oliver Hudson, Lamorne Morris, Martin Roach	500	/title/tt2990140/	545	Movie	0	80199682	The Christmas Chronicles	22/11/18	2018	TV-PG	104 min	Children & Family Movies, Comedies	After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.	/title/tt2990140/	7,1	41689	 The Christmas Chronicles
Children & Family Movies, Comedies	0	Robert Vince	323	United States	2	Kaitlyn Maher, Mackenzie Sol, Makenzie Moss, David DeLuise, George Newbern, Reggie De Leon, Diedrich Bader, Chloe Coleman, Oakley Bull, Dillon Fontana, vivienne Rutherford, Tyreese Burnett	532	/title/tt8861786/	577	Movie	0	80989043	Puppy Star Christmas	20/11/18	2018	PG	91 min	Children & Family Movies, Comedies	A new pack of Pup Star pooches stumbles upon a rival team’s plan to ruin Christmas, then ends up at the North Pole to try and save the holiday spirit.	/title/tt8861786/	3,4	138	 Puppy Star Christmas
Children & Family Movies, Comedies	0	Robert Vince	323	Canada	30	Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger	210	/title/tt5449296/	231	Movie	0	80092857	Pup Star	29/10/16	2016	G	92 min	Children & Family Movies, Comedies	After a singing pup with big dreams of stardom gets dognapped and escapes with a friend's help, her journey home is a fun, music-filled adventure.	/title/tt5449296/	4,3	353	 Pup Star
Children & Family Movies, Comedies	0	Robert Vince	323	Canada	30	Kaitlyn Maher, Obba Babatundé, Lombardo Boyar, Molly Burnett, Chris Coppola, Reggie De Leon, David DeLuise, Matty Finochio, Josh Flitter, Benjamin Flores Jr.	213	/title/tt6357074/	235	Movie	0	80189954	Pup Star: Better 2Gether	28/10/17	2017	PG	93 min	Children & Family Movies, Comedies	Returning Pup Star champ Tiny has her Yorkie paws full after an evil rival replaces her with street dog Scrappy during the national competition.	/title/tt6357074/	4,6	142	 Pup Star: Better 2Gether
Children & Family Movies, Comedies	0	Robert Vince	323	Canada	30	Jonathan Mangum, Erin Allin O'Reilly, Kayden Magnuson, Danny Woodburn, Skylar Astin, John Ratzenberger, David Milchard	968	/title/tt4820278/	1051	Movie	0	80092781	Monkey Up	19/03/16	2016	PG	83 min	Children & Family Movies, Comedies	A talking monkey famous for his TV commercials dreams of breaking into real movies. But first he stumbles upon a brother and sister who need his help.	/title/tt4820278/	3,9	308	 Monkey Up
Children & Family Movies, Comedies	0	Savage Steve Holland	325	United States	2	Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings	535	/title/tt3149536/	580	Movie	0	81214223	A Fairly Odd Summer	02/11/19	2014	TV-G	68 min	Children & Family Movies, Comedies	In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.	/title/tt3149536/	4	376	 A Fairly Odd Summer
Children & Family Movies, Comedies	0	Savage Steve Holland	325	United States	2	Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, JT Neal, Ian Ziering, Bryana Salaz, Camaron Engels, Jeremy Howard, Jeff Meacham	817	/title/tt9098432/	882	Movie	0	80223928	Malibu Rescue	13/05/19	2019	TV-G	70 min	Children & Family Movies, Comedies	When a long list of shenanigans lands Tyler in hot water, he’s forced to suit up and spend his summer training for an elite junior lifeguard program.	/title/tt9098432/	5,1	488	 Malibu Rescue
Children & Family Movies, Comedies	0	Savage Steve Holland	325	United States	2	Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, JT Neal, Ian Ziering, Bryana Salaz, Camaron Engels, Jeremy Howard, Jeff Meacham	817	/title/tt9098432/	882	Movie	0	80223928	Malibu Rescue	13/05/19	2019	TV-G	70 min	Children & Family Movies, Comedies	When a long list of shenanigans lands Tyler in hot water, he’s forced to suit up and spend his summer training for an elite junior lifeguard program.	/title/tt9098432/	5,1	488	 Malibu Rescue
