2.a.2.2.l.c.c.d.t.cast.32;cast32;2.a.2.2.l.c.c.d.t.cast.31;cast31;2.a.2.2.l.c.c.d.t.cast.30;cast30;2.a.2.2.l.c.c.d.t.cast.29;cast28;2.a.2.2.l.c.c.d.t.cast.28;cast28.1;2.a.2.2.l.c.c.d.t.cast.27;cast27;2.a.2.2.l.c.c.d.t.cast.26;cast26;2.a.2.2.l.c.c.d.t.cast.25;cast25;2.a.2.2.l.c.c.d.t.cast.24;cast24;2.a.2.2.l.c.c.d.t.cast.23;cast23;2.a.2.2.l.c.c.d.t.cast.22;cast22;2.a.2.2.l.c.c.d.t.cast.21;cast21;2.a.2.2.l.c.c.d.t.cast.20;cast20;2.a.2.2.l.c.c.d.t.cast.19;cast19;2.a.2.2.l.c.c.d.t.cast.18;cast18;2.a.2.2.l.c.c.d.t.cast.17;cast17;2.a.2.2.l.c.c.d.t.cast.16;cast16;2.a.2.2.l.c.c.d.t.cast.15;cast15;2.a.2.2.l.c.c.d.t.cast.14;cast14;2.a.2.2.l.c.c.d.t.cast.13;cast13;2.a.2.2.l.c.c.d.t.cast.12;cast12;2.a.2.2.l.c.c.d.t.cast.11;cast11;2.a.2.2.l.c.c.d.t.cast.10;cast10;2.a.2.2.l.c.c.d.t.cast.9;cast9;2.a.2.2.l.c.c.d.t.cast.8;cats8;2.a.2.2.l.c.c.d.t.cast.5;cast5;2.a.2.2.l.c.c.d.t.cast.6;cast6;a.2.2.l.c.c.d.t.cast.4;cast4;2.2.2.l.c.c.d.t.cast.3;2.cast3;2.a.2.l.c.c.d.t.cast.2;2.a.cast2;2.a.2.l.c.c.d.t.cast.1;2.a.2.cast1;l.c.c.d.type;l.c.c.d.id_type;l.c.c.d.t.show_id;l.c.c.d.t.title;l.c.c.d.t.director;l.c.c.id_directors;l.c.c.d.t.cast;l.c.id_cast;l.c.c.d.t.country;l.id_countries;l.c.c.d.t.date_added;l.c.c.d.t.release_year;l.c.c.d.t.rating;l.c.c.d.t.duration;l.c.c.d.t.listed_in;id_listed;l.c.c.d.t.description;l.c.c.d.t.IMDB_titleID;l.c.c.d.t.IMDB_rating;l.c.c.d.t.IMDB_rating_votes;l.c.c.d.t.IMDB_title_name
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800; Hiro Shimono;11710; Tatsuhisa Suzuki;11692; Ari Ozawa;11668; Ayane Sakura;11667; Satoshi Mikami;11656; Kaede Hondo;11655; Yumi Uchiyama;11555; Chika Anzai;11552; Yuhko Kaida;11361; Megumi Nakajima;11356; Minori Suzuki;11005; Yuichi Iguchi;10993; Wataru Hatano;10084; Takahiro Sakurai;10060; Ai Kayano;8322; Satoshi Hino;8294; Yoshitsugu Matsuoka;6946; Reina Ueda;4308; Yuichi Nakamura;4277; Akari Kito;2878;Kentaro Kumagai;1467;TV Show;1;81086718;Record of Grancrest War;N/A;1;Kentaro Kumagai, Akari Kito, Yuichi Nakamura, Reina Ueda, Satoshi Hino, Yoshitsugu Matsuoka, Natsumi Takamori, Ai Kayano, Takahiro Sakurai, Wataru Hatano, Yuichi Iguchi, Minori Suzuki, Megumi Nakajima, Yuhko Kaida, Chika Anzai, Yumi Uchiyama, Kaede Hondo, Satoshi Mikami, Ayane Sakura, Ari Ozawa, Tatsuhisa Suzuki, Hiro Shimono;365;Japan;67;43472;2018;TV-MA;1 Season;Anime Series;260;Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.;/title/tt7897050/;72;369; Record of Grancrest War
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693; Chris Britton;11669; Naoya Uchida;11666; Brian Drummond;11658; Shido Nakamura;11653; Sam Vincent;11557; Hiroki Takahashi;11550; Brian Dobson;11363; Hideo Ishikawa;11354; Kelly Metzger;11007; Haruka Kudo;10991; Shannon Chan-Kent;10087; Aya Hirano;10057; Lisa Ann Beley;8325; Ai Satou;8290; Saffron Henderson;6942; Brad Swaile;4313; Mamoru Miyano;4272; Alessandro Juliani;2873;Kappei Yamaguchi;1462;TV Show;1;70204970;DEATH NOTE;N/A;1;Kappei Yamaguchi, Alessandro Juliani, Mamoru Miyano, Brad Swaile, Ai Satou, Saffron Henderson, Akeno Watanabe, Lisa Ann Beley, Aya Hirano, Shannon Chan-Kent, Haruka Kudo, Kelly Metzger, Hideo Ishikawa, Brian Dobson, Hiroki Takahashi, Sam Vincent, Shido Nakamura, Brian Drummond, Naoya Uchida, Chris Britton;122;Japan;67;25569;2006;TV-14;1 Season;Anime Series, Crime TV Shows, International TV Shows;257;When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it.;/title/tt0877057/;9;200866; Death Note
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672; Keir Gilchrist;11663; Aasif Mandvi;11661; Zoë Kravitz;11649; Lauren Graham;11565; Viola Davis;11537; Emma Roberts;11377; Jeremy Davies;11339; Jim Gaffigan;11027; Tony Darrow;10955; Marcus Thomas;10170; Paul Sorvino;9945; Vinnie Jones;8502; Linda Cardellini;8056; Fionnula Flanagan;6709; Christopher Walken;4575; Val Kilmer;3996; Vincent D'Onofrio;2585;Ray Stevenson;1158;Movie;0;70128697;Kill the Irishman;Jonathan Hensleigh;1253;Ray Stevenson, Vincent D'Onofrio, Val Kilmer, Christopher Walken, Linda Cardellini, Fionnula Flanagan, Jason Butler Harner, Vinnie Jones, Paul Sorvino, Marcus Thomas, Tony Darrow, Jim Gaffigan, Jeremy Davies, Emma Roberts, Viola Davis, Lauren Graham, Zoë Kravitz, Aasif Mandvi, Keir Gilchrist;1697;United States;3;43472;2011;R;106 min;Action & Adventure, Dramas, Independent Movies;162;This true crime tale charts the rise and fall of mobster Danny Greene, who faced down the Mafia to gain control of organized crime in 1970s Cleveland.;/title/tt1416801/;71;43446; Kill the Irishman
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672; Tom Kane;11660; Nolan North;11666; Colin Murdock;11644; Mark Acheson;11572; Steve Blum;11529; Qayam Devji;11389; Nicole Oliver;11325; French Tickner;11049; Michael Adamthwaite;10922; Paul Dobson;10232; Jonathan Holmes;9869; Jay Brazeau;8600; Kari Wahlgren;7942; Bryce Johnson;6585; Grey DeLisle;4706; Graham McTavish;3863; Matthew Wolf;2439;Fred Tatasciore;998;Movie;0;70111265;Hulk Vs.;Sam Liu, Frank Paur;982;Fred Tatasciore, Matthew Wolf, Graham McTavish, Grey DeLisle, Kari Wahlgren, Bryce Johnson, Janyse Jaud, Jay Brazeau, Jonathan Holmes, Paul Dobson, Michael Adamthwaite, French Tickner, Nicole Oliver, Qayam Devji, Steve Blum, Mark Acheson, Colin Murdock, Nolan North, Tom Kane;1442;United States;3;43468;2009;PG-13;83 min;Action & Adventure, Sci-Fi & Fantasy;118;This action-packed animated double feature pits the Hulk against two of the Marvel Universe's most powerful characters: Wolverine and Thor.;/title/tt1325753/;71;10983; Hulk Vs.
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672; Anjelica Huston;11651; Jesse McCartney;11677; Jane Horrocks;11629; Kari Wahlgren;11592; Grey DeLisle;11502; Rob Paulsen;11423; Jeff Bennett;11281; Kevin Michael Richardson;11104; Mick Wingert;10847; Carlos Ponce;10343; Jim Cummings;9730; Angela Bartys;8770; Raven-Symoné;7701; Megan Hilty;6337; Lucy Liu;4978; Tom Hiddleston;3589; Christina Hendricks;2149;Mae Whitman;705;Movie;0;70302844;The Pirate Fairy;Peggy Holmes;1110;Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston;1563;United States;3;25569;2014;G;78 min;Children & Family Movies;53;In this spritely tale, Tinker Bell and her friends set out to find free-spirited fairy Zarina after she makes off with some precious Blue Pixie Dust.;/title/tt2483260/;66;11533; The Pirate Fairy
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Phoebe Waller-Bridge;11686; Susan Brown;11620; Michael Pennington;11605; Roger Allam;11480; Angus Wright;11451; Richard E. Grant;11234; Julian Wadham;11178; David Westhead;10719; Anthony Head;10604; John Sessions;9410; Nicholas Farrell;9217; Olivia Colman;7166; Iain Glen;5806; Harry Lloyd;5547; Alexandra Roach;3030; Jim Broadbent;1619;Meryl Streep;315;Movie;0;70189282;The Iron Lady;Phyllida Lloyd;1150;Meryl Streep, Jim Broadbent, Alexandra Roach, Harry Lloyd, Olivia Colman, Iain Glen, Victoria Bewick, Nicholas Farrell, John Sessions, Anthony Head, David Westhead, Julian Wadham, Richard E. Grant, Angus Wright, Roger Allam, Michael Pennington, Susan Brown, Phoebe Waller-Bridge;1600;United Kingdom, France;70;43653;2011;PG-13;105 min;Dramas, International Movies;36;Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics.;/title/tt1007029/;64;98644; The Iron Lady
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Matt Corboy;11684; John Edward Lee;11622; Autumn Federici;11602; Allegra Masters;11485; Michael McLafferty;11445; Kaiwi Lyman-Mersereau;11246; Jordi Vilasuso;11157; Lawrence Kao;10757; Zachary James Rukavina;10533; Lisa Pelikan;9495; Cesar Garcia;9111; Michael Nardelli;7291; Sara Sanderson;5927; Molly Jackson;5417; Carter Jenkins;3157; Mercy Malick;1735;Julie Benz;346;Movie;0;80070182;Circle;Aaron Hann, Mario Miscione;303;Julie Benz, Mercy Malick, Carter Jenkins, Molly Jackson, Michael Nardelli, Sara Sanderson, Kevin Sheridan, Cesar Garcia, Lisa Pelikan, Zachary James Rukavina, Lawrence Kao, Jordi Vilasuso, Kaiwi Lyman-Mersereau, Michael McLafferty, Allegra Masters, Autumn Federici, John Edward Lee, Matt Corboy;706;United States;3;25569;2015;NR;86 min;Dramas, Independent Movies, Sci-Fi & Fantasy;147;When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared.;/title/tt3118452/;6;34185; Circle
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Subhash Ghai;11681; Aditya Narayan;11625; Pavan Malhotra;11599; Smita Jaykar;11490; Shashi Sharma;11440; Deepak Qazir;11258; Ajay Nagrath;11138; Anand Balraj;10787; Benu Kalsi;10482; Dina Pathak;9553; Madhuri Bhatia;9035; Alok Nath;7371; Himani Shivpuri;6143; Apoorva Agnihotri;5186; Mahima Chaudhry;3384; Amrish Puri;1942;Shah Rukh Khan;525;Movie;0;80059049;Pardes;Subhash Ghai;1005;Shah Rukh Khan, Amrish Puri, Mahima Chaudhry, Apoorva Agnihotri, Alok Nath, Himani Shivpuri, Padmavati Rao, Madhuri Bhatia, Dina Pathak, Benu Kalsi, Anand Balraj, Ajay Nagrath, Deepak Qazir, Shashi Sharma, Smita Jaykar, Pavan Malhotra, Aditya Narayan, Subhash Ghai;1465;India;4;43103;1997;TV-14;187 min;Dramas, International Movies, Romantic Movies;206;Prompted by loyalty, Arjun plays matchmaker between his philandering foster brother and a conservative girl but winds up falling in love himself.;/title/tt0119861/;7;12974; Pardes
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Anil Dhawan;11679; Mohan Joshi;11627; Mahavir Shah;11597; Bindu;11495; Shakti Kapoor;11434; Razak Khan;11269; Asrani;11120; Aashif Sheikh;10822; Ashish Vidyarthi;10386; Anupam Kher;9678; Aruna Irani;8842; Kader Khan;7610; Paresh Rawal;6243; Pooja Batra;5081; Karisma Kapoor;3488; Govinda;2047;Sanjay Dutt;611;Movie;0;70021253;Haseena Maan Jaayegi;David Dhawan;998;Sanjay Dutt, Govinda, Karisma Kapoor, Pooja Batra, Kader Khan, Paresh Rawal, Satish Kaushik, Aruna Irani, Anupam Kher, Ashish Vidyarthi, Aashif Sheikh, Asrani, Razak Khan, Shakti Kapoor, Bindu, Mahavir Shah, Mohan Joshi, Anil Dhawan;1459;India;4;43103;1999;TV-PG;151 min;Action & Adventure, Comedies, Dramas;187;A millionaire opens the door to comic complications when he punishes his spoiled sons for trying to make money through shady, get-rich-quick schemes.;/title/tt0267548/;62;2591; Haseena Maan Jaayegi
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Anna Cummer;11674; Kazumi Evans;11632; Kelly Metzger;11589; Miranda Nolte;11505; Bethany Brown;11419; Tabitha St. Germain;11285; Brian Drummond;11100; Derek Waters;10851; Vincent Tong;10338; Ellen Kennedy;9737; Cathy Weseluck;8762; Ali Liebert;7710; Shannon Chan-Kent;6346; Brittney Wilson;4970; Nicole Oliver;3596; Morwenna Banks;2156;Diana Kaarina;712;Movie;0;70197459;Barbie: Princess Charm School;Ezekiel Norton;415;Diana Kaarina, Morwenna Banks, Nicole Oliver, Brittney Wilson, Ali Liebert, Shannon Chan-Kent, Madeleine Peters, Cathy Weseluck, Ellen Kennedy, Vincent Tong, Derek Waters, Brian Drummond, Tabitha St. Germain, Bethany Brown, Miranda Nolte, Kelly Metzger, Kazumi Evans, Anna Cummer;852;United States, Canada;76;42745;2011;TV-Y;80 min;Children & Family Movies;53;Blair Willows is excited when she gets to go to Princess Charm School, where she meets princesses Delancy and Hadley, and searches for a magic crown.;/title/tt2066832/;64;1679; Barbie: Princess Charm School
