idDirector3;2.l.c.c.d.t.director.2;2.idDirecto2;2.d2.l.c.c.d.t.director.1;2.d2.id_diretor1;2.d2.l.c.c.d.t.director.3;2.d2.teste.l.c.c.d.type;2.d2.teste.l.c.c.d.id_type;2.d2.teste.l.c.c.d.t.show_id;2.d2.teste.l.c.c.d.t.title;2.d2.teste.l.c.c.d.t.director;2.d2.teste.l.c.c.id_directors;2.d2.teste.l.c.c.d.t.cast;2.d2.teste.l.c.id_cast;2.d2.teste.l.c.c.d.t.country;2.d2.teste.l.id_countries;2.d2.teste.l.c.c.d.t.date_added;2.d2.teste.l.c.c.d.t.release_year;2.d2.teste.l.c.c.d.t.rating;2.d2.teste.l.c.c.d.t.duration;2.d2.teste.l.c.c.d.t.listed_in;2.d2.teste.id_listed;2.d2.teste.l.c.c.d.t.description;2.d2.teste.l.c.c.d.t.IMDB_titleID;2.d2.teste.l.c.c.d.t.IMDB_rating;2.d2.teste.l.c.c.d.t.IMDB_rating_votes;2.d2.teste.l.c.c.d.t.IMDB_title_name;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000; Tim Maltby;2000;Richard Finn;0;N/A;Movie;0;81145628;Norm of the North: King Sized Adventure;Richard Finn, Tim Maltby;0;Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson;0;United States, India, South Korea, China;0;43717;2019;TV-PG;90 min;Children & Family Movies, Comedies;0;Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.;/title/tt9428190/;31;235; Norm of the North: King Sized Adventure;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000; Chris Sanders;2001;Kirk De Micco;1;N/A;Movie;0;70143241;The Croods;Kirk De Micco, Chris Sanders;1164;Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman, Clark Duke, Chris Sanders, Randy Thom;1613;N/A;2;25569;2013;PG;99 min;Children & Family Movies, Comedies;0;When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.;/title/tt0481499/;72;182029; The Croods;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;81021976;The Spooky Tale of Captain Underpants Hack-a-ween;N/A;1;Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Clancy Brown, Jorge Diaz, Peter Hastings, Evan Kishiyama, David Koechner, Erica Luttrell, Patty Mattson, Brennan Murray, Kevin Michael Richardson, Mindy Sterling, Stephen Tobolowsky, Kari Wahlgren;6;United States;3;43687;2019;TV-Y7;46 min;Children & Family Movies, Comedies;0;When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday – and it's a huge success!;/title/tt10945060/;63;73; The Spooky Tale of Captain Underpants Hack-a-Ween;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80117401;Jandino: Whatever it Takes;N/A;1;Jandino Asporaat;1;United Kingdom;1;42622;2016;TV-MA;94 min;Stand-Up Comedy;1;"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of Sex on Fire"""" in his comedy show.""""";/title/tt6999080/;53;15; Jandino: Whatever it Takes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80179907;Bridget Christie: Stand Up for Her;N/A;1;Bridget Christie;16;United Kingdom;1;25569;2016;TV-MA;51 min;Stand-Up Comedy;1;Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality.;/title/tt7309512/;64;76; Bridget Christie: Stand Up for Her;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80225421;John Leguizamo's Latin History for Morons;N/A;1;John Leguizamo;10;United States;3;43231;2018;TV-MA;90 min;Stand-Up Comedy;1;In this one-man Broadway show, John Leguizamo finds humor and heartbreak as he traces 3,000 years of Latin history in an effort to help his bullied son.;/title/tt9777830/;73;258; John Leguizamo's Latin History for Morons;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80203919;Adel Karam: Live from Beirut;N/A;1;Adel Karam;18;United States;3;43103;2018;TV-MA;59 min;Stand-Up Comedy;1;From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco.;/title/tt8081748/;53;116; Adel Karam: Live from Beirut;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80118888;Saudi Arabia Uncovered;N/A;1;N/A;5;United Kingdom;1;42378;2016;TV-14;52 min;Documentaries;2;Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change.;/title/tt5580060/;72;260; Saudi Arabia Uncovered;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;81176188;American Factory: A Conversation with the Obamas;N/A;1;President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar;2;N/A;2;43594;2019;TV-G;10 min;Documentaries;2;Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.;/title/tt10937318/;53;69; American Factory: A Conversation with the Obamas;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80192834;Reversing Roe;N/A;1;Ricki Stern, Annie Sundberg;3;United States;3;25569;2018;TV-14;100 min;Documentaries;2;Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.;/title/tt8948614/;73;785; Reversing Roe;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
